Aa en Hunze;25386
Aagtekerke;
Aalburg;
Aalsmeer;31728
Aalten;27011
Ter Aar;
Aardenburg;
Aarle-Rixtel;
Abbekerk;
Abbenbroek;
Abcoude;
Achtkarspelen;27852
Adorp;
Aduard;
Akersloot;
Alblasserdam;20069
Albrandswaard;25271
Alkemade;
Alkmaar;108558
Almelo;72849
Almere;207904
Almkerk;
Alphen aan den Rijn;110986
Alphen en Riel;
Alphen-Chaam;10149
Altena;55386
Ambt Delden;
Ambt Montfort;
Amby;
Ameide;
Ameland;3673
Amerongen;
Amersfoort;156286
Ammerstol;
Ammerzoden;
Amstelveen;90838
Amstenrade;
Amsterdam;862965
Andel;
Andijk;
Angerlo;
Ankeveen;
Anloo;
Anna Paulowna;
Apeldoorn;162445
Appeltern;
Appingedam;11721
Arcen en Velden;
Arkel;
Arnemuiden;
Arnhem;159265
Asperen;
Assen;67963
Assendelft;
Asten;16710
Avenhorn;
Avereest;
Axel;
Baarderadeel;
Baarland;
Baarle-Nassau;6847
Baarn;24767
Baexem;
Baflo;
Bakel en Milheeze;
Bangert;
Barendrecht;48673
Barneveld;57971
Barradeel;
Barsingerhorn;
Barwoutswaarder;
Batenburg;
Bathmen;
Bedum;
Beegden;
Beek (L.);15929
Beek en Donk;
Beekdaelen;35727
Beemster;9748
Beers;
Beerta;
Beesd;
Beesel;13519
Beets;
Beilen;
Belfeld;
Bellingwedde;
Bellingwolde;
Bemelen;
Bemmel;
Bennebroek;
Benschop;
Benthuizen;
Berg en Dal;34798
Berg en Terblijt;
Bergambacht;
Bergeijk;18491
Bergen (L.);13140
Bergen (NH.);29974
Bergen op Zoom;66811
Bergeyk;
Bergh;
Bergharen;
Berghem;
Bergschenhoek;
Berkel en Rodenrijs;
Berkel-Enschot;
Berkelland;43904
Berkenwoude;
Berkhout;
Berlicum;
Bernheze;30806
Bernisse;
Best;29821
Beuningen;25882
Beusichem;
Beverwijk;41176
Bierum;
Biervliet;
Biggekerke;
het Bildt;
De Bilt;42824
Bingelrade;
Binnenmaas;
Bladel;20175
Bladel en Netersel;
Blankenham;
Blaricum;11202
Bleiswijk;
Bleskensgraaf en Hofwege;
Bloemendaal;23410
Blokker;
Blokzijl;
Boarnsterhim;
Bocholtz;
Bodegraven;
Bodegraven-Reeuwijk;34462
Boekel;10588
Ten Boer;
Bolsward;
Den Bommel;
Boornsterhem;
Borculo;
Borger;
Borger-Odoorn;25372
Borgharen;
Born;
Borne;23210
Borsele;22800
Borssele;
Boskoop;
Bovenkarspel;
Boxmeer;29065
